site_id,ncollege,college,total_pop,college_percentage,volume,sent,left,total,sign_percentage,has_spouse,spouse_percentage
臺南市左鎮區,3874,715,4589,0.1558073654390935,0,0,56,56,0.01220309435606886,2285,0.4979298322074526
臺中市北區,71603,57587,129190,0.44575431534948523,64,3200,3649,6849,0.053014939236783035,60578,0.46890626209458935
臺中市北屯區,132232,102077,234309,0.4356512127148338,112,5600,3413,9013,0.0384662987764021,117723,0.5024262832413607
臺中市大安區,13392,3829,17221,0.2223448115672725,3,150,250,400,0.023227454851634632,9191,0.5337088438534348
臺中市大肚區,34155,15250,49405,0.30867321121343994,13,650,595,1245,0.025199878554802147,25579,0.5177411193199069
臺中市大甲區,46224,19627,65851,0.2980516620856175,16,800,422,1222,0.018557045451094135,34278,0.5205387921216079
臺中市大里區,116550,62085,178635,0.34755227139138467,71,3550,2185,5735,0.03210457077280488,90298,0.5054888459708344
臺中市大雅區,54073,26299,80372,0.3272159458517892,21,1050,846,1896,0.023590305081371624,41648,0.5181904145722391
臺中市東區,41335,25002,66337,0.37689373954203537,36,1800,147,1947,0.029350136424619745,32311,0.4870735788474004
臺中市東勢區,32900,12197,45097,0.2704614497638424,18,900,525,1425,0.03159855422755394,23107,0.5123844158147992
臺中市豐原區,92816,49452,142268,0.34759749205724405,59,2950,912,3862,0.027145949897376783,72516,0.5097140607866842
臺中市和平區,7803,1863,9666,0.19273743016759776,1,50,289,339,0.035071384233395404,4898,0.5067246016966688
